assets_id,assets_txt
14892171,Кофемашина LaCimbali S30 СP11 MilkPs/10599050
14919374,Кофемашина Franke A400 MS EC 1G H1/10657967
16687828,Кофемашина Franke A300/12649874
13848865,Шкаф среднетемпературный 0.5 (стеклянная дверь) Polair DP-105S
14099722,Шкаф холодильный Капри 0.5УСК
